year,sample,threshold,B_excess,M_missing,b_norm,b_se,b_ci_lo,b_ci_hi,mass_ratio_M_over_B,n_in_window
2019,full,B/C 50 (placebo),-290.7139699554938,-138.00218169868447,-0.3930995911495459,0.15652229968304388,-0.7087389494922689,-0.08682004282497442,,42228
2019,smallbiz,E/F 125 (MEES),836.6537486415442,665.876591825022,3.2071765751240617,0.5197843325845567,2.4038210454384794,4.491901188669587,0.7958807247397036,11580
2019,smallbiz,C/D 75 (placebo),-104.62494232881613,83.57330920262075,-0.12088032549386606,0.09917689132073544,-0.31028835900407653,0.0773029924132034,,37979
2019,smallbiz,B/C 50 (placebo),-237.2508011255042,-93.80662729525454,-0.5330877782529181,0.16148801933086215,-0.8473928877325442,-0.19828687843248002,,24918
2020,full,E/F 125 (MEES),951.1243161145678,681.757937724783,3.57598957421236,0.5694329251162245,2.6425351210548405,4.81764590269168,0.7167916182711301,12273
2020,full,C/D 75 (placebo),-336.81867069574696,456.48808975065344,-0.29876663626486116,0.08593274678719282,-0.4545731033975703,-0.11912605536646542,,47451
2020,full,B/C 50 (placebo),-117.82034169055237,111.1417397183119,-0.18032877441552433,0.13322240584838793,-0.41979030669483985,0.11491820747357061,,35284
2020,smallbiz,E/F 125 (MEES),637.661999317462,466.7923690602869,3.5729846696527687,0.6243427676663982,2.6201328803814667,5.000048378042994,0.7320373012033493,8123
2020,smallbiz,C/D 75 (placebo),-304.8298915803989,328.71698481592273,-0.42257314697870607,0.11068582188806914,-0.6237345940201274,-0.2019793444911749,,29898
2020,smallbiz,B/C 50 (placebo),-63.70027384238716,91.49124714037487,-0.1613727136957221,0.16291709048052744,-0.44651108334027834,0.18696595097931462,,20799
2021,full,E/F 125 (MEES),869.1867799477517,747.2585481348162,2.934829214710427,0.5771430391488835,2.033635210828565,4.209169742423034,0.8597214837755991,13494
2021,full,C/D 75 (placebo),143.23269644876586,498.1533036513465,0.10687783201548891,0.08702601384503303,-0.05893886233687578,0.26324789857189046,3.4779300816244514,58592
2021,full,B/C 50 (placebo),-116.82853866114726,-80.91101819856158,-0.12841607203723412,0.1328904839006699,-0.36988132427656284,0.135438902258906,,46201
2021,smallbiz,E/F 125 (MEES),579.3163480761643,532.9923697665929,2.8434556055851887,0.6033724459911592,1.9106503218789752,4.234665731235424,0.9200368184612648,9044
2021,smallbiz,C/D 75 (placebo),110.24770930015097,300.29010247871463,0.13004736033058947,0.08517007418206596,-0.03190474694605491,0.2947123964872241,2.723776343154401,37182
2021,smallbiz,B/C 50 (placebo),-65.7336924035734,-120.15014530280973,-0.11862145500268259,0.1429576883830049,-0.4007043790582125,0.17225904567361863,,27892
2022,full,E/F 125 (MEES),792.2144706199038,666.0514257399855,2.8419525598470345,0.5317284424778386,2.153263584582016,4.086165541627425,0.8407463514505152,12622
2022,full,C/D 75 (placebo),453.8805591568332,793.0946122104742,0.29591438929717084,0.08040032086933512,0.14222913274907387,0.4652571274804442,1.7473641384504188,67197
2022,full,B/C 50 (placebo),549.9252235450358,-43.637919917106956,0.364233525186566,0.09585362128321545,0.1773668246013235,0.5589384631633909,-0.07935246111425776,69859
2022,smallbiz,E/F 125 (MEES),525.6230680727915,357.1776281837066,3.239080675021872,0.519285142091578,2.4548644422558503,4.385402055380647,0.679531873464584,7714
2022,smallbiz,C/D 75 (placebo),170.26553349609765,530.3651378640038,0.17017246731374647,0.09893002226792141,-0.023350640995554336,0.36086647287396056,3.114929527861018,43076
2022,smallbiz,B/C 50 (placebo),185.85765936189637,102.26989036587338,0.19112733270731905,0.10247918589994455,-0.006417814884595303,0.3802971401324189,0.5502592183555727,43392
2023,full,E/F 125 (MEES),840.7637668981147,690.6521952349375,3.108790262813371,0.5498209109880896,2.1979566610478916,4.390685016409283,0.8214580865954848,12457
2023,full,C/D 75 (placebo),1278.5304460632317,816.0710606407515,0.7878090105365836,0.10831021497694955,0.5833743457433088,1.0054336563229946,0.6382883279420876,75577
2023,full,B/C 50 (placebo),954.7734625254266,367.16040760211126,0.43683824600970766,0.08530375004661458,0.2755920808755842,0.6016847766997762,0.38455238023787597,93433
2023,smallbiz,E/F 125 (MEES),447.17162563170143,390.9895562686429,2.8744877428447184,0.543823415161058,1.963472566079201,4.145360414985616,0.8743612829108011,7312
2023,smallbiz,C/D 75 (placebo),970.3639111081357,402.6473830535044,0.9251012793464982,0.1291145404808466,0.6622974791038216,1.186789919189647,0.414944721711352,49081
2023,smallbiz,B/C 50 (placebo),171.08324616389064,165.26529511990066,0.12169958199499237,0.06821209171387914,-0.013464031437309447,0.25544283537116047,0.9659934495373286,59595
2024,full,E/F 125 (MEES),536.904846776702,410.7628679680147,3.0888726325617544,0.5509765508370316,2.1958766092279394,4.372141029075149,0.765057105433154,8188
2024,full,C/D 75 (placebo),593.2212596816632,768.366796215854,0.5124774860079007,0.1285820740729605,0.26598178451066895,0.7694652607620532,1.2952448747844574,52515
2024,full,B/C 50 (placebo),1364.5144039718955,370.8900941168008,0.8566243152303394,0.0906419487956258,0.6882054820437717,1.0281500980245513,0.27181105090367363,68740
2024,smallbiz,E/F 125 (MEES),258.9539484220783,230.02160802924752,2.615453123973843,0.5839559052371504,1.6522200251360957,4.007659671589064,0.8882722562481536,4609
2024,smallbiz,C/D 75 (placebo),385.84890532958025,429.4902128445268,0.5285382650227243,0.1344971658084122,0.2771876986401602,0.8295962842706076,1.1131046555067183,33106
2024,smallbiz,B/C 50 (placebo),456.10978975916817,123.3890902641948,0.462690149611673,0.08903472517290952,0.2995771709085626,0.6401261874263159,0.27052497673717074,42166
2025,full,E/F 125 (MEES),518.408621549828,293.43060530748653,3.8480942462669647,0.49011028717989824,3.0466740381813775,4.967056265270313,0.5660218466858248,6756
2025,full,C/D 75 (placebo),1092.3111339942648,706.7967752724924,1.1252381066744854,0.149787669215271,0.8527435534787872,1.408198452060186,0.6470654315203597,45754
2025,full,B/C 50 (placebo),1348.0135962434965,409.66012103928233,0.8966449610510445,0.09309551042468323,0.722632364396358,1.076880182934071,0.3038991017456206,63027
2025,smallbiz,E/F 125 (MEES),231.9386700480444,168.498108465852,3.011710758867731,0.6293242209397533,1.9916880889881456,4.449648734520793,0.726476996832606,3748
2025,smallbiz,C/D 75 (placebo),578.9027788446036,431.4216840938556,0.9483688377158825,0.16838285972613684,0.6322496400524827,1.2739590729809092,0.7452403060750608,28527
2025,smallbiz,B/C 50 (placebo),424.3625065987711,59.99999351544113,0.4660622630440692,0.08939718637726796,0.3027764045202985,0.6543949171299912,0.14138853593908637,38382
2026,full,E/F 125 (MEES),184.5111454705995,161.9389575331137,2.7255128640369044,0.6783206060069219,1.6546007599463934,4.191681834289763,0.8776649081012696,3081
2026,full,C/D 75 (placebo),395.57929383323193,501.9099171504502,0.8164958564509538,0.17175646847000303,0.5013672322655001,1.179767154226739,1.268797242360327,22280
2026,full,B/C 50 (placebo),731.9973717746067,155.8480472349363,1.0104870798137027,0.11305823052999428,0.8047553036040577,1.240320290257432,0.2129079327936772,31041
2026,smallbiz,E/F 125 (MEES),104.919175720376,78.19588354394321,3.0135190407831915,0.8759596336390063,1.6700907611822358,4.995996893885195,0.7452963960786917,1635
2026,smallbiz,C/D 75 (placebo),157.55750865733415,312.93159052525516,0.5219062983883044,0.20684415552133872,0.13943275544271674,0.9266999240765136,1.9861420327852366,13598
2026,smallbiz,B/C 50 (placebo),328.3206809596818,-1.6613201425186048,0.7625861363922282,0.15125722214758944,0.49866674129045424,1.0721243253687243,-0.0050600532919905135,18779
