property_type_group,high_risk_score
Restaurant/Cafe,0.02443863443496806
Office/Workshop,0.35554139318188654
Retail/Financial/Professional,0.1646921582048014
Retail/Financial/Professional,0.031247810209204908
Office/Workshop,0.5574469855861375
Retail/Financial/Professional,0.19787624816972044
Retail/Financial/Professional,0.254426951017002
Office/Workshop,0.3600009794639894
Retail/Financial/Professional,0.17821967225703275
Retail/Financial/Professional,0.2191131257029863
Office/Workshop,0.5404399441223644
Restaurant/Cafe,0.038020465550211616
Office/Workshop,0.5625870280144727
Retail/Financial/Professional,0.4551753383210773
Retail/Financial/Professional,0.17736367968502217
Retail/Financial/Professional,0.17439361703228282
Office/Workshop,0.3727366487689865
Retail/Financial/Professional,0.15553817691311986
Restaurant/Cafe,0.11627791121916455
Retail/Financial/Professional,0.036165569054574506
Restaurant/Cafe,0.06494571942532851
Retail/Financial/Professional,0.17400204002239789
Retail/Financial/Professional,0.17881990742141196
Retail/Financial/Professional,0.03971967362555577
Retail/Financial/Professional,0.02989467310379579
Retail/Financial/Professional,0.17419722810531052
Office/Workshop,0.07918272238943144
Retail/Financial/Professional,0.03449774262720565
Retail/Financial/Professional,0.18417442338356793
Office/Workshop,0.3535998985367342
Office/Workshop,0.5547956895843229
Retail/Financial/Professional,0.39737012366049895
Office/Workshop,0.06695872735508474
Retail/Financial/Professional,0.03145236872562067
Office/Workshop,0.40458636769069906
Office/Workshop,0.022398785801980528
Retail/Financial/Professional,0.03311497663068089
Office/Workshop,0.4075823980754418
Office/Workshop,0.38423717524849577
Restaurant/Cafe,0.12741447827446034
Office/Workshop,0.4021730434763331
Office/Workshop,0.5658474459053786
Retail/Financial/Professional,0.17973270898531915
Office/Workshop,0.10700305621451454
Retail/Financial/Professional,0.15015258349149038
Restaurant/Cafe,0.09027564872638093
Office/Workshop,0.3426992224588405
Office/Workshop,0.3613725399195025
Office/Workshop,0.4210271364729592
Office/Workshop,0.06623530543232091
Office/Workshop,0.04577884034507246
Office/Workshop,0.43949076083026806
Restaurant/Cafe,0.14176170188070203
Office/Workshop,0.526671909246084
Retail/Financial/Professional,0.16418025741817324
Retail/Financial/Professional,0.15237884885216393
Retail/Financial/Professional,0.45557497537347963
Office/Workshop,0.053490366402324074
Retail/Financial/Professional,0.45685661595994487
Office/Workshop,0.7327510703182756
Office/Workshop,0.4557609007235202
Office/Workshop,0.5615983658942639
Retail/Financial/Professional,0.03164005798850611
Office/Workshop,0.03623656324029669
Retail/Financial/Professional,0.22553683310218214
Office/Workshop,0.36410377597906196
Retail/Financial/Professional,0.03275124989781127
Retail/Financial/Professional,0.15881770411816146
Restaurant/Cafe,0.08432955522823521
Retail/Financial/Professional,0.06969297305869836
